,cellid,modelname,state_sig,state_chan,MI,r,r_se,d,g,state_chan_alt
0,mgc015b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.7491008951109702,0.010686864648629078,0.9770959615839313,0.9923153134336149,baseline
1,mgc015b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.00011883442060919243,0.7491008951109702,0.010686864648629078,-0.014627755527848832,0.012263489787916434,ACTIVE_1
2,btn118a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9080948167715469,0.0061466031184443095,0.8048644995244112,1.0021045133704025,baseline
3,btn118a-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,2.0355819136272993e-05,0.9080948167715469,0.0061466031184443095,0.0027513048069765706,-0.003194008099447225,ACTIVE_0
4,btn112e-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9048199324371009,0.006381340160521936,5.080504569626192,1.004409722115962,baseline
5,btn112e-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,4.377372291304407e-05,0.9048199324371009,0.006381340160521936,-0.015346186441614392,-0.007204074062108141,ACTIVE_1
6,btn109b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.6217425335426923,0.011931765484087526,0.33385809234673064,0.9903620812660805,baseline
7,btn109b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0003767423155211485,0.6217425335426923,0.011931765484087526,0.007032007020349368,0.01599839039158812,ACTIVE_1
8,btn095b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8414197423252204,0.008302151419614406,0.7297316456799909,1.0092001679404878,baseline
9,btn095b-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.00018508900540524788,0.8414197423252204,0.008302151419614406,0.008626891588433638,-0.013462954861756068,ACTIVE_1
10,btn079d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.27437963025947953,0.02061850477405752,0.8742504444026536,0.996881039545513,baseline
11,btn079d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.00010646486700936695,0.27437963025947953,0.02061850477405752,0.011357139536763526,-0.005464911562303074,ACTIVE_1
12,btn079d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.00032574208470683493,0.27437963025947953,0.02061850477405752,0.01060206313187809,0.03529789010904081,PASSIVE_1
13,btn079d-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.00039716998506359445,0.27437963025947953,0.02061850477405752,-0.007359922454654211,-0.007794580219266536,ACTIVE_2
14,btn075c-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8197654222282316,0.012915180511829114,0.6134750350381781,0.9985192990612136,baseline
15,btn075c-b1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-3.743670993764793e-05,0.8197654222282316,0.012915180511829114,0.011689241447322793,0.002153472586033525,ACTIVE_1
16,btn062c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.6641925974232319,0.016912155391750935,0.36828280392710566,1.0449540860259874,baseline
17,btn062c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0006053566132040998,0.6641925974232319,0.016912155391750935,0.04085781768760838,-0.059138311968874,ACTIVE_1
18,btn060a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9296958009751858,0.005223186872187744,0.7273848308544376,0.9953043776711421,baseline
19,btn060a-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,-9.508357849033998e-05,0.9296958009751858,0.005223186872187744,-0.0238335905191324,0.006444128505532951,ACTIVE_0
20,btn054b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.8708993347841743,0.009185182070316057,0.6687053144131915,0.9975213347712047,baseline
21,btn054b-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.00024066847297593604,0.8708993347841743,0.009185182070316057,-0.012413011324148066,0.0037378637250870344,ACTIVE_1
22,btn019c-a1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,0.9536523128152451,0.0039302195129323906,0.7109506928836111,0.9979982323007646,baseline
